age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,subscription_probability,predicted_subscription,campaign_priority,customer_rank
66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.9844014996397477,yes,High,1
37,admin.,married,university.degree,no,no,no,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.9819649153317397,yes,High,2
48,unemployed,married,professional.course,no,yes,no,cellular,may,wed,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.981211567537916,yes,High,3
76,retired,married,basic.4y,no,yes,no,cellular,may,fri,2,6,2,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.9799336863869328,yes,High,4
33,admin.,married,university.degree,no,yes,no,cellular,aug,thu,1,3,3,success,-1.7,94.027,-38.3,0.899,4991.6,1,0.9797928688291337,yes,High,5
64,retired,married,university.degree,no,no,no,cellular,mar,fri,1,3,2,success,-1.8,93.369,-34.8,0.653,5008.7,0,0.979718797231389,yes,High,6
52,management,married,university.degree,no,yes,no,cellular,may,fri,3,3,3,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.9794914908589878,yes,High,7
92,retired,married,unknown,no,yes,no,cellular,may,thu,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,0,0.9788151866642475,yes,High,8
34,admin.,single,university.degree,no,no,no,cellular,mar,tue,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0.9785577665078279,yes,High,9
70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,2,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.977444484120183,yes,High,10
59,retired,married,professional.course,no,yes,no,cellular,aug,fri,2,3,2,success,-1.7,94.027,-38.3,0.905,4991.6,1,0.976246601928108,yes,High,11
78,retired,divorced,basic.4y,no,yes,no,cellular,may,fri,2,7,2,success,-1.8,93.876,-40.0,0.682,5008.7,0,0.9758753283596461,yes,High,12
50,admin.,single,university.degree,no,no,no,cellular,aug,tue,1,6,2,success,-1.7,94.027,-38.3,0.904,4991.6,1,0.9757827700468759,yes,High,13
60,retired,married,university.degree,no,no,no,cellular,sep,thu,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6,1,0.9751666743627903,yes,High,14
41,unemployed,married,high.school,no,yes,yes,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9750678940844624,yes,High,15
29,admin.,single,high.school,no,yes,no,cellular,sep,thu,1,6,2,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9745064319355531,yes,High,16
78,retired,married,unknown,no,no,no,cellular,mar,thu,1,6,2,success,-1.8,93.369,-34.8,0.635,5008.7,1,0.9740837062171861,yes,High,17
40,technician,married,professional.course,no,yes,no,cellular,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,0.9737541715569268,yes,High,18
47,management,married,university.degree,no,yes,no,cellular,aug,mon,3,3,2,success,-1.7,94.027,-38.3,0.904,4991.6,0,0.9731027092611866,yes,High,19
92,retired,married,unknown,no,no,yes,cellular,aug,wed,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.9726075741630699,yes,High,20
27,student,single,university.degree,no,no,no,cellular,aug,wed,1,3,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,0.9715035551868004,yes,High,21
26,admin.,single,high.school,no,no,no,cellular,mar,tue,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0.9714533022733635,yes,High,22
83,retired,divorced,basic.4y,no,no,no,cellular,sep,thu,1,9,3,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9713273209359972,yes,High,23
92,retired,married,unknown,no,no,yes,cellular,aug,tue,1,3,1,success,-1.7,94.027,-38.3,0.904,4991.6,1,0.9712007339224831,yes,High,24
42,technician,married,professional.course,no,no,no,cellular,aug,thu,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0.9710885495040243,yes,High,25
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,0.971060718039505,yes,High,26
33,admin.,married,university.degree,no,yes,no,cellular,may,mon,1,3,2,success,-1.8,93.876,-40.0,0.685,5008.7,1,0.9705143038086202,yes,High,27
52,technician,married,university.degree,no,no,no,cellular,may,thu,1,3,4,success,-1.8,93.876,-40.0,0.677,5008.7,1,0.9702823966399552,yes,High,28
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,0.9699686140813653,yes,High,29
58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,0.9697043263259121,yes,High,30
52,admin.,married,university.degree,no,no,no,cellular,may,thu,1,3,2,success,-1.8,93.876,-40.0,0.677,5008.7,1,0.9682952770147485,yes,High,31
52,management,married,university.degree,no,no,no,cellular,may,fri,2,9,1,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.9675079568879189,yes,High,32
23,student,single,professional.course,no,yes,no,cellular,sep,wed,1,8,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.9673102100911057,yes,High,33
37,admin.,single,high.school,no,no,no,cellular,mar,wed,2,4,2,success,-1.8,93.369,-34.8,0.655,5008.7,1,0.9670498103487498,yes,High,34
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,0,0.9662685262097739,yes,High,35
21,student,single,basic.9y,no,no,no,cellular,mar,wed,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,0.9660174170522947,yes,High,36
24,student,single,high.school,no,yes,yes,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.9659626837741371,yes,High,37
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,thu,1,10,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,0.9647351635372274,yes,High,38
48,admin.,divorced,high.school,no,no,no,cellular,jun,wed,1,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,1,0.9635117247971249,yes,High,39
36,admin.,single,university.degree,no,no,no,cellular,jun,wed,1,7,1,success,-1.7,94.055,-39.8,0.739,4991.6,1,0.963453693829421,yes,High,40
34,admin.,single,university.degree,no,no,no,cellular,nov,thu,1,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.9628349555840827,yes,High,41
37,unemployed,single,university.degree,no,yes,no,cellular,jun,thu,2,6,1,success,-1.7,94.055,-39.8,0.742,4991.6,0,0.9627589205433493,yes,High,42
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9626636059054338,yes,High,43
44,services,divorced,basic.6y,no,yes,no,cellular,aug,wed,3,0,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,0.9626515173762544,yes,High,44
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9626133423853173,yes,High,45
30,admin.,single,university.degree,no,no,no,cellular,jul,tue,1,3,2,success,-1.7,94.215,-40.3,0.797,4991.6,0,0.961988372729363,yes,High,46
30,technician,single,professional.course,no,no,no,cellular,sep,tue,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,0,0.9617899139542667,yes,High,47
20,student,single,unknown,no,no,no,cellular,may,tue,2,3,5,success,-1.8,93.876,-40.0,0.697,5008.7,1,0.9615815532630734,yes,High,48
38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9612862114769319,yes,High,49
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,0,0.9606820700787914,yes,High,50
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9603341142628775,yes,High,51
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.9602144825154156,yes,High,52
56,retired,married,high.school,no,no,no,cellular,jun,tue,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,1,0.9600525699070077,yes,High,53
33,admin.,single,university.degree,no,yes,no,cellular,apr,thu,1,7,2,success,-1.8,93.749,-34.6,0.635,5008.7,1,0.9580352528178608,yes,High,54
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,13,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.9579246162796672,yes,High,55
29,admin.,married,university.degree,no,unknown,unknown,cellular,jul,tue,1,3,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,0.9578995353846564,yes,High,56
72,retired,married,basic.4y,no,no,yes,cellular,jul,fri,4,8,1,success,-1.7,94.215,-40.3,0.822,4991.6,1,0.9577645309502905,yes,High,57
79,retired,married,basic.4y,no,no,yes,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9573549286290575,yes,High,58
